country,datetime,demand,ramp,absolute_ramp
Spain,2024-05-11 02:05:00,22975.0,-176.0,176.0
Spain,2024-05-11 02:10:00,22804.0,-171.0,171.0
Spain,2024-05-11 02:15:00,22800.0,-4.0,4.0
Spain,2024-05-11 02:20:00,22777.0,-23.0,23.0
Spain,2024-05-11 02:25:00,22668.0,-109.0,109.0
Spain,2024-05-11 02:30:00,22610.0,-58.0,58.0
Spain,2024-05-11 02:35:00,22455.0,-155.0,155.0
Spain,2024-05-11 02:40:00,22218.0,-237.0,237.0
Spain,2024-05-11 02:45:00,22111.0,-107.0,107.0
Spain,2024-05-11 02:50:00,22333.0,222.0,222.0
Spain,2024-05-11 02:55:00,22082.0,-251.0,251.0
Spain,2024-05-11 03:00:00,21997.0,-85.0,85.0
Spain,2024-05-11 03:05:00,22093.0,96.0,96.0
Spain,2024-05-11 03:10:00,22087.0,-6.0,6.0
Spain,2024-05-11 03:15:00,22005.0,-82.0,82.0
Spain,2024-05-11 03:20:00,22069.0,64.0,64.0
Spain,2024-05-11 03:25:00,21820.0,-249.0,249.0
Spain,2024-05-11 03:30:00,21776.0,-44.0,44.0
Spain,2024-05-11 03:35:00,21933.0,157.0,157.0
Spain,2024-05-11 03:40:00,22083.0,150.0,150.0
Spain,2024-05-11 03:45:00,21774.0,-309.0,309.0
Spain,2024-05-11 03:50:00,21939.0,165.0,165.0
Spain,2024-05-11 03:55:00,21579.0,-360.0,360.0
Spain,2024-05-11 04:00:00,21406.0,-173.0,173.0
Spain,2024-05-11 04:05:00,21502.0,96.0,96.0
Spain,2024-05-11 04:10:00,21397.0,-105.0,105.0
Spain,2024-05-11 04:15:00,21656.0,259.0,259.0
Spain,2024-05-11 04:20:00,21691.0,35.0,35.0
Spain,2024-05-11 04:25:00,21597.0,-94.0,94.0
Spain,2024-05-11 04:30:00,21566.0,-31.0,31.0
Spain,2024-05-11 04:35:00,21566.0,0.0,0.0
